,DATE,ANDAMAN&NICOBARISLANDS,ARUNACHALPRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA&NAGARHAVELI,DAMAN&DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDHRAPRADESH,JAMMUANDKASHMIR
19,2020-04-03,0,-100.0,0,-60.0,-100.0,0,0,0,-34.04255319148936,0,600.0,50.0,-100.0,-100.0,-71.42857142857143,-57.142857142857146,0,422.22222222222223,-27.272727272727273,-100.0,0,0,0,0,-100.0,500.0,253.84615384615384,0,36.0,0,318.1818181818182,100.0,-100.0,38.46153846153846,-25.0
20,2020-04-04,0,0,-57.142857142857146,-50.0,0,0,0,0,-36.55913978494624,0.0,85.71428571428571,188.88888888888889,0,0,300.0,22.22222222222222,0,-46.808510638297875,131.25,0,0,0,0,-93.33333333333333,0,100.0,-41.30434782608695,0,-27.45098039215686,0,30.434782608695652,0.0,0,-21.11111111111111,183.33333333333334
21,2020-04-05,0,0,-100.0,-100.0,0,-100.0,0,0,-1.694915254237288,-100.0,53.84615384615385,-76.92307692307692,-85.71428571428571,0,-56.25,-27.272727272727273,0,-44.0,-24.324324324324323,0,0,0,0,1700.0,0,-75.0,122.22222222222223,0,16.216216216216218,0,-26.666666666666668,-33.333333333333336,0,77.46478873239437,-17.647058823529413
22,2020-04-06,0,0,0,0,0,0,0,0,-62.06896551724138,0,-10.0,233.33333333333334,300.0,0.0,71.42857142857143,62.5,0,350.0,8.035714285714286,0,0,0,0,-94.44444444444444,0,266.6666666666667,-41.666666666666664,0,-41.86046511627907,0,-38.63636363636363,25.0,-100.0,-38.888888888888886,-78.57142857142857
23,2020-04-07,0,0,0,0,0,0,0,0,131.8181818181818,0,61.111111111111114,65.0,125.0,-100.0,0.0,-30.76923076923077,0,-46.03174603174603,23.96694214876033,0,0,0,0,100.0,0,81.81818181818181,20.0,0,38.0,-100.0,0.0,-100.0,0,-33.76623376623377,433.3333333333333
24,2020-04-08,0,0,-100.0,-83.33333333333333,0,0,0,0,82.3529411764706,0,-62.06896551724138,-27.272727272727273,-100.0,0,-50.0,0.0,0,50.0,-22.0,0,0,0,0,-100.0,0,-65.0,-4.761904761904762,0,-30.434782608695652,0,7.407407407407407,0,-27.272727272727273,62.745098039215684,106.25
25,2020-04-09,-100.0,0,0,1800.0,0,0,0,0,-45.16129032258065,0,590.9090909090909,-87.5,0,0,166.66666666666666,33.333333333333336,0,37.254901960784316,95.72649572649573,0,0,0,0,0,0,242.85714285714286,100.0,0,100.0,0,68.96551724137932,-100.0,-50.0,-60.24096385542169,-21.21212121212121
26,2020-04-10,0,0,-100.0,-89.47368421052632,0,-100.0,0,0,258.8235294117647,0,52.63157894736842,100.0,-100.0,-88.88888888888889,-37.5,-41.666666666666664,0,-42.857142857142854,-8.296943231441048,0,0,0,0,-66.66666666666667,0,-12.5,22.5,0,-19.791666666666668,0,-53.06122448979592,0,225.0,3.0303030303030303,-7.6923076923076925
27,2020-04-11,0,0,0,100.0,-100.0,0,0,0,-9.289617486338798,0,-22.413793103448278,-50.0,0,200.0,-20.0,42.857142857142854,0,95.0,-10.952380952380953,0,0,0,0,100.0,-100.0,-66.66666666666667,41.83673469387755,0,-24.675324675324674,-100.0,-17.391304347826086,0,-23.076923076923077,17.647058823529413,-29.166666666666668
28,2020-04-12,0,0,0,-100.0,0,-14.285714285714286,0,0,-48.795180722891565,0,-46.666666666666664,433.3333333333333,-100.0,-33.333333333333336,112.5,-80.0,0,-57.69230769230769,18.181818181818183,0,0,0,0,-100.0,0,71.42857142857143,-25.179856115107913,0,82.75862068965517,0,63.1578947368421,0,-20.0,7.5,23.529411764705884
