,DATE,ANDAMAN&NICOBARISLANDS,ARUNACHALPRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA&NAGARHAVELI,DAMAN&DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDHRAPRADESH,JAMMUANDKASHMIR
31,2020-04-15,2.0,-3.3333333333333335,26.42857142857143,48.35087719298246,-10.333333333333334,-21.666666666666668,0.0,0.0,32.65035520194299,-10.0,63.35148267407794,32.46992821992822,-2.023809523809524,-9.851851851851851,26.0709826665709,52.42734714116294,0.0,52.059525595516654,56.02412388942143,-6.666666666666667,-3.3333333333333335,-3.3333333333333335,0.0,48.18518518518519,-10.0,62.57251082251082,33.61744819959606,0.0,17.481748824220464,-6.666666666666667,19.81302224802145,-23.61111111111111,47.98737032947559,47.87307422398802,22.712758465209443
32,2020-04-16,2.0,-3.3333333333333335,26.42857142857143,47.7953216374269,-7.0,-21.666666666666668,0.0,0.0,41.783538529919,-10.0,65.44918382350323,36.914372664372664,-5.357142857142858,-16.51851851851852,29.720105473588443,70.99877571259148,0.0,49.38355266827469,57.08129364998103,-6.666666666666667,-5.555555555555556,-3.3333333333333335,0.0,44.851851851851855,-6.666666666666667,79.79473304473304,31.47171666754662,0.0,17.163908769538303,-3.3333333333333335,20.170510170726764,-23.61111111111111,48.03196341754695,48.1359027596576,22.380632861344704
33,2020-04-17,2.0,-3.3333333333333335,26.42857142857143,48.05050505050505,-7.0,-21.666666666666668,0.0,0.0,33.42490475382791,-10.0,63.83794714284454,32.67194842194842,-2.023809523809524,-6.888888888888889,31.710846214329187,69.53052174433755,0.0,49.632183093896266,55.42803386295888,-6.666666666666667,-8.88888888888889,-3.3333333333333335,0.0,47.07407407407408,-6.666666666666667,81.1204906204906,33.327777273607225,0.0,21.956964325093853,-3.3333333333333335,20.701122415624727,-23.61111111111111,41.643074528658055,50.577265540003424,22.637043117754963
34,2020-04-18,8.666666666666666,-3.3333333333333335,26.42857142857143,-13.616161616161616,-7.0,-21.666666666666668,0.0,0.0,40.850679107864174,-10.0,46.23901666156111,36.00528175528176,-4.246031746031747,-9.111111111111112,24.715896719379693,78.41941063322639,0.0,47.15747631620802,57.9871506720757,-6.666666666666667,-8.88888888888889,-3.3333333333333335,0.0,47.07407407407408,-6.666666666666667,75.16810966810968,30.810770470886144,0.0,18.206964325093853,-3.3333333333333335,24.614393053033293,-21.388888888888893,44.420852306435826,51.623759206979024,23.106018586730436
35,2020-04-19,7.0,-3.3333333333333335,29.761904761904763,19.161616161616163,-5.333333333333333,-21.666666666666668,0.0,0.0,36.74357390018972,-10.0,49.39101466977723,40.247705997706,-4.246031746031747,14.222222222222225,23.849230052713025,76.75274396655973,0.0,42.33863573649787,61.01406198706041,-6.666666666666667,-12.222222222222223,-3.3333333333333335,0.0,47.07407407407408,-6.666666666666667,75.45071836376184,31.106112651474227,0.0,23.030980888240848,-3.3333333333333335,24.341024446331353,-21.388888888888893,44.39244321552674,50.38811179486103,19.564351920063768
36,2020-04-20,7.0,-3.3333333333333335,29.761904761904763,21.494949494949495,-8.666666666666666,-21.666666666666668,0.0,0.0,31.379937536553353,-10.0,45.80084411775382,34.932891182891176,-8.412698412698413,16.305555555555557,30.51589671937969,84.44505165886743,0.0,92.5396939375561,59.69584024393748,-6.666666666666667,-12.222222222222223,-3.3333333333333335,0.0,43.74074074074075,-6.666666666666667,69.7234456364891,29.678291129164514,0.0,19.796060253320213,0.0,23.247691112998023,-18.055555555555557,45.262008432918044,51.370283744774916,5.376317732029582
37,2020-04-21,7.0,-3.3333333333333335,29.761904761904763,20.7106357694593,-8.666666666666666,-21.666666666666668,0.0,0.0,33.320697925589606,-10.0,46.86546996809395,37.155113405113404,-18.412698412698415,12.972222222222221,26.65346285694583,89.58394054775631,0.0,80.40294180080394,60.043147621824254,-6.666666666666667,-12.222222222222223,-3.3333333333333335,0.0,44.837606837606835,-6.666666666666667,77.50122341426689,33.142009950026186,0.0,23.74954862541324,0.0,27.273665138972046,-22.222222222222225,51.35396245590655,52.74148640811241,7.519174874886726
38,2020-04-22,7.0,-3.3333333333333335,33.095238095238095,25.06961012843366,-12.0,-18.333333333333332,0.0,0.0,34.132750656286404,-6.666666666666667,44.93112815927516,43.88588263588263,-15.555555555555555,12.972222222222221,28.195129523612493,89.0895226849174,0.0,80.27756866647559,60.12328210413265,-6.666666666666667,-15.555555555555555,-3.3333333333333335,0.0,-12.495726495726496,-6.666666666666667,91.66789008093356,28.9421497124301,0.0,21.323043172591998,0.0,27.2693078404971,-21.11111111111111,49.97031465716441,49.426726051098534,12.274076835671037
39,2020-04-23,17.0,-3.3333333333333335,35.0,28.697061108825814,-12.0,-18.333333333333332,0.0,0.0,36.6557364752049,-6.666666666666667,41.89931281304933,36.47847522847522,-15.555555555555555,12.972222222222221,21.52846285694583,88.04575164114635,0.0,88.02832854489503,58.43196346530821,-6.666666666666667,-15.555555555555555,-3.3333333333333335,0.0,-7.717948717948718,-6.666666666666667,85.61850736488417,28.64140139377897,0.0,24.35928797354268,0.0,24.73695794401677,-21.11111111111111,50.18536842060527,51.82057059987266,6.1629657245599265
40,2020-04-24,19.5,0.0,31.666666666666668,33.90693765203569,-8.666666666666666,-18.333333333333332,0.0,0.0,38.05090491492121,-6.666666666666667,21.49992725237344,34.256253006253004,-15.555555555555555,15.82936507936508,25.94645227493525,87.61718021257494,0.0,75.92092113748762,57.67867219787813,-3.3333333333333335,-15.555555555555555,-3.3333333333333335,0.0,-8.273504273504274,-3.3333333333333335,75.6185073648842,19.91670503750367,0.0,24.27039908465379,0.0,16.863137775114634,-24.444444444444446,56.04395427919113,49.54163458261889,6.132101527029064
