,0,1
0,PUNJAB,6475
1,UTTARAKHAND,658
2,HARYANA,5646
3,RAJASTHAN,422992
4,UTTAR PRADESH,3404806
5,BIHAR,1663800
6,TRIPURA,17575
7,ASSAM,65655
8,WEST BENGAL,275091
9,JHARKHAND,258717
10,ODISHA,86582
11,CHHATTISGARH,126085
12,MADHYA PRADESH,2600231
13,GUJARAT,1998939
