,0,1
0,ANDHRA PRADESH,344049
1,ASSAM,2320
2,BIHAR,152993
3,CHHATTISGARH,77281
4,GOA,387294
5,GUJARAT,850727
6,HARYANA,15769
7,JAMMU AND KASHMIR,8054
8,JHARKHAND,50807
9,KARNATAKA,221336
10,KERALA,67389
11,MADHYA PRADESH,729589
