,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
9723,MADHYA PRADESH,RAJASTHAN,70.47269972899907,,,S M T W T F S,7
9724,MADHYA PRADESH,HARYANA,35.397383722876015,,,S M T W T F S,7
9725,MADHYA PRADESH,DELHI NCT,25.388549109394503,,,S M T W T F S,7
9726,MADHYA PRADESH,CHANDIGARH,2.5456371334526326,,,S M T W T F S,7
9727,MADHYA PRADESH,PUNJAB,36.54167390182012,,,S M T W T F S,7
9728,UTTAR PRADESH,RAJASTHAN,291.54828476498966,,,S M T W T F S,7
9729,UTTAR PRADESH,HARYANA,146.44034568362127,,,S M T W T F S,7
9730,UTTAR PRADESH,DELHI NCT,105.03340973142542,,,S M T W T F S,7
9731,UTTAR PRADESH,CHANDIGARH,10.531399290025773,,,S M T W T F S,7
9732,UTTAR PRADESH,PUNJAB,151.1743184167149,,,S M T W T F S,7
9733,RAJASTHAN,HARYANA,228.44337832476648,,,S M T W T F S,7
9734,RAJASTHAN,DELHI NCT,163.84956511817273,,,S M T W T F S,7
9735,RAJASTHAN,CHANDIGARH,16.428726803870255,,,S M T W T F S,7
9736,RAJASTHAN,PUNJAB,235.82826067393592,,,S M T W T F S,7
9737,HARYANA,DELHI NCT,217.4353738301315,,,S M T W T F S,7
9738,HARYANA,CHANDIGARH,21.80162243077224,,,S M T W T F S,7
9739,HARYANA,PUNJAB,312.9541783181683,,,S M T W T F S,7
9740,DELHI NCT,CHANDIGARH,39.95479385357823,,,S M T W T F S,7
9741,DELHI NCT,PUNJAB,573.5361998870958,,,S M T W T F S,7
9742,CHANDIGARH,PUNJAB,101.46777941158842,,,S M T W T F S,7
9743,WEST BENGAL,ODISHA,594.6756791846601,,,S M T W T F S,7
9744,WEST BENGAL,ANDHRA PRADESH,1481.32432081534,,,S M T W T F S,7
9745,ODISHA,ANDHRA PRADESH,594.6756791846601,,,S M T W T F S,7
9746,ANDHRA PRADESH,MAHARASHTRA,686.3855584926828,,,S M T W T F S,7
9747,ANDHRA PRADESH,MADHYA PRADESH,264.56517252791735,,,S M T W T F S,7
